geometry;ux;uy;p;x;y
1;0,50937128;1,2397618e-06;1,6404021;3,2;0,85000002
1;0,50937128;1,2397767e-06;1,6004021;3,25;0,85000002
1;0,50937128;1,2397916e-06;1,560402;3,3;0,85000002
1;0,50937128;1,2398065e-06;1,5204021;3,3499999;0,85000002
1;0,50937134;1,2398214e-06;1,4804021;3,4000001;0,85000002
1;0,50937134;1,2398361e-06;1,4404022;3,45;0,85000002
1;0,50937134;1,239851e-06;1,4004021;3,5;0,85000002
1;0,50937134;1,2398659e-06;1,3604021;3,55;0,85000002
1;0,50937134;1,2398808e-06;1,3204021;3,5999999;0,85000002
1;0,50937134;1,2398957e-06;1,2804021;3,6500001;0,85000002
1;0,5093714;1,2399106e-06;1,2404021;3,7;0,85000002
1;0,5093714;1,2399255e-06;1,2004021;3,75;0,85000002
1;0,5093714;1,2399403e-06;1,1604021;3,8;0,85000002
1;0,5093714;1,2399552e-06;1,1204021;3,8499999;0,85000002
1;0,5093714;1,2399701e-06;1,0804021;3,9000001;0,85000002
1;0,50932175;0,00033862822;1,0420498;3,95;0,85000002
4;0,50932395;0;1;4;0,85000002
1;0,35937122;1,4167857e-06;1,8402821;2,95;0,89999998
1;0,35937124;1,4168027e-06;1,8002821;3;0,89999998
1;0,35937124;1,4168197e-06;1,760282;3,05;0,89999998
1;0,35937124;1,4168367e-06;1,7202821;3,0999999;0,89999998
1;0,35937127;1,4168537e-06;1,6802821;3,1500001;0,89999998
1;0,35937127;1,4168706e-06;1,6402822;3,2;0,89999998
1;0,35937127;1,4168877e-06;1,6002821;3,25;0,89999998
1;0,3593713;1,4169048e-06;1,5602821;3,3;0,89999998
1;0,3593713;1,4169217e-06;1,5202821;3,3499999;0,89999998
1;0,3593713;1,4169387e-06;1,4802821;3,4000001;0,89999998
1;0,35937133;1,4169557e-06;1,4402821;3,45;0,89999998
1;0,35937133;1,4169727e-06;1,4002821;3,5;0,89999998
1;0,35937133;1,4169897e-06;1,3602821;3,55;0,89999998
1;0,35937136;1,4170067e-06;1,3202821;3,5999999;0,89999998
1;0,35937136;1,4170237e-06;1,2802821;3,6500001;0,89999998
1;0,35937136;1,4170407e-06;1,2402821;3,7;0,89999998
