geometry,ux,uy,p,knudsen,x,y
2,0,0,0.303486705,0.00239231973,7.99999189,0
1,0.0926079303,-0.00526726106,0.30309242,0.00430759927,7.99999189,0.111111
2,0,0,0.317109585,0.00283997227,8.11110306,0
1,0.103007436,-0.0048114853,0.316112727,0.00455783634,8.11110306,0.111111
2,0,0,0.329817384,0.00324052572,8.22221375,0
1,0.112518832,-0.00417949725,0.32885623,0.0047768834,8.22221375,0.111111
2,0,0,0.34157145,0.0035677033,8.33332539,0
1,0.120733611,-0.00347233377,0.341388404,0.00492702983,8.33332539,0.111111
2,0,0,0.352445364,0.00385783217,8.44443607,0
1,0.127340078,-0.00268519437,0.352292687,0.00502277259,8.44443607,0.111111
2,0,0,0.36261037,0.00410432275,8.55554676,0
1,0.132513225,-0.00192830944,0.362032384,0.00509245181,8.55554676,0.111111
2,0,0,0.372309119,0.00428350875,8.6666584,0
1,0.136567086,-0.00136184669,0.372027129,0.00514347712,8.6666584,0.111111
2,0,0,0.381716549,0.0044159512,8.77776909,0
1,0.139614835,-0.000951095077,0.381898105,0.00515904929,8.77776909,0.111111
2,0,0,0.390958518,0.00454377756,8.88887978,0
1,0.141835779,-0.000620417122,0.390889198,0.00516353268,8.88887978,0.111111
2,0,0,0.40015018,0.00465152273,8.99999142,0
1,0.143582746,-0.000388987421,0.399832696,0.00517043332,8.99999142,0.111111
2,0,0,0.409326762,0.00472974684,9.1111021,0
1,0.145030454,-0.000270065007,0.409366161,0.00516959233,9.1111021,0.111111
2,0,0,0.418417782,0.00480087101,9.22221279,0
1,0.146112427,-0.000151470726,0.418650359,0.0051521943,9.22221279,0.111111
2,0,0,0.427352011,0.00487847254,9.33332443,0
1,0.146826863,2.36642118E-05,0.427286178,0.00512909656,9.33332443,0.111111
2,0,0,0.436040968,0.0049335435,9.44443512,0
1,0.147238731,0.000209729187,0.435965985,0.00510071404,9.44443512,0.111111
2,0,0,0.444370359,0.00496276747,9.55554581,0
1,0.147253007,0.000400547171,0.444646806,0.00506767305,9.55554581,0.111111
2,0,0,0.452242285,0.0049817632,9.66665745,0
1,0.146719739,0.000659653451,0.452520847,0.00501859561,9.66665745,0.111111
2,0,0,0.459599644,0.00498554017,9.77776814,0
1,0.145656362,0.000950490474,0.459663272,0.00496274233,9.77776814,0.111111
2,0,0,0.466416448,0.00495412946,9.88887882,0
1,0.144140482,0.00119671389,0.466621876,0.0049028378,9.88887882,0.111111
2,0,0,0.472718477,0.00489883265,9.99999046,0
1,0.142170534,0.00140292745,0.473126739,0.00483097369,9.99999046,0.111111
2,0,0,0.47856167,0.00483213551,10.1111012,0
1,0.139806554,0.0015890979,0.478823066,0.00474717468,10.1111012,0.111111
2,0,0,0.484037429,0.00474911695,10.2222118,0
1,0.137247518,0.00169169903,0.484167129,0.00466259336,10.2222118,0.111111
2,0,0,0.489277691,0.0046482957,10.3333225,0
1,0.1346737,0.00168102735,0.489533305,0.00458056713,10.3333225,0.111111
2,0,0,0.494431019,0.00454794522,10.4444342,0
1,0.132199228,0.00159419596,0.494689167,0.00450226059,10.4444342,0.111111
2,0,0,0.499631822,0.00445628865,10.5555449,0
1,0.129989073,0.00144245278,0.499679506,0.00443306798,10.5555449,0.111111
