geometry,physVelocity:0,physVelocity:1,physPressure,knudsen,Points:0,Points:1
1.00000000e+00,9.41344857e-01,-3.21838915e-01,4.27601337e-01,9.90389963e-04,1.35000002e+00,1.04999995e+00
1.00000000e+00,9.47101355e-01,-3.10722262e-01,4.20895219e-01,1.17387006e-03,1.39999998e+00,1.00000000e+00
1.00000000e+00,9.63875353e-01,-3.34466636e-01,4.27114785e-01,1.06255745e-03,1.39999998e+00,1.04999995e+00
1.00000000e+00,9.72760022e-01,-3.18366349e-01,4.02176231e-01,1.39907061e-03,1.45000005e+00,1.00000000e+00
1.00000000e+00,9.88445699e-01,-3.45707417e-01,4.10585403e-01,1.15419610e-03,1.45000005e+00,1.04999995e+00
1.00000000e+00,9.99358892e-01,-3.23364139e-01,3.82397026e-01,1.59955805e-03,1.50000000e+00,1.00000000e+00
1.00000000e+00,1.01689327e+00,-3.50817710e-01,3.66491318e-01,1.36141595e-03,1.50000000e+00,1.04999995e+00
1.00000000e+00,1.02565360e+00,-3.25482398e-01,3.62003088e-01,1.66661746e-03,1.54999995e+00,1.00000000e+00
1.00000000e+00,1.04771543e+00,-3.53956223e-01,3.52589667e-01,1.98303047e-03,1.54999995e+00,1.04999995e+00
1.00000000e+00,1.05236638e+00,-3.25527370e-01,3.40643108e-01,1.73878728e-03,1.60000002e+00,1.00000000e+00
1.00000000e+00,1.07720828e+00,-3.53471637e-01,3.55776489e-01,1.91970507e-03,1.60000002e+00,1.04999995e+00
1.00000000e+00,1.08001184e+00,-3.24857473e-01,3.17606360e-01,1.95562071e-03,1.64999998e+00,1.00000000e+00
1.00000000e+00,1.10578573e+00,-3.53868306e-01,3.12111408e-01,1.75870571e-03,1.64999998e+00,1.04999995e+00
1.00000000e+00,1.10796785e+00,-3.21582824e-01,2.94416517e-01,2.20765127e-03,1.70000005e+00,1.00000000e+00
1.00000000e+00,1.13598573e+00,-3.49552721e-01,2.47628048e-01,2.18010042e-03,1.70000005e+00,1.04999995e+00
1.00000000e+00,1.13641572e+00,-3.13923478e-01,2.72097975e-01,2.45213509e-03,1.75000000e+00,1.00000000e+00
1.00000000e+00,1.16448176e+00,-3.42807025e-01,2.61055171e-01,2.47956673e-03,1.75000000e+00,1.04999995e+00
1.00000000e+00,1.16345978e+00,-3.02907854e-01,2.51437545e-01,2.62571080e-03,1.79999995e+00,1.00000000e+00
1.00000000e+00,1.19322515e+00,-3.32550347e-01,2.78164387e-01,2.58292235e-03,1.79999995e+00,1.04999995e+00
1.00000000e+00,1.18684292e+00,-2.88183630e-01,2.34040216e-01,2.59823469e-03,1.85000002e+00,1.00000000e+00
1.00000000e+00,1.21851754e+00,-3.09096962e-01,2.03100517e-01,2.15741829e-03,1.85000002e+00,1.04999995e+00
1.00000000e+00,1.20783055e+00,-2.72113323e-01,2.18475834e-01,2.52723158e-03,1.89999998e+00,1.00000000e+00
1.00000000e+00,1.23972225e+00,-2.92770565e-01,1.81578159e-01,2.54983711e-03,1.89999998e+00,1.04999995e+00
1.00000000e+00,1.22679043e+00,-2.57432550e-01,2.03480303e-01,2.55797873e-03,1.95000005e+00,1.00000000e+00
1.00000000e+00,1.26448369e+00,-2.80299485e-01,2.03677610e-01,2.82536540e-03,1.95000005e+00,1.04999995e+00
1.00000000e+00,1.24415767e+00,-2.42669880e-01,1.90160468e-01,2.59968638e-03,2.00000000e+00,1.00000000e+00
1.00000000e+00,1.28549719e+00,-2.58409023e-01,1.64434254e-01,2.45350623e-03,2.00000000e+00,1.04999995e+00
1.00000000e+00,1.26074398e+00,-2.27143794e-01,1.79496735e-01,2.61121010e-03,2.04999995e+00,1.00000000e+00
1.00000000e+00,1.29902816e+00,-2.41628811e-01,1.45751461e-01,2.30852002e-03,2.04999995e+00,1.04999995e+00
1.00000000e+00,1.27578843e+00,-2.11220339e-01,1.70604363e-01,2.58682994e-03,2.09999990e+00,1.00000000e+00
1.00000000e+00,1.31141627e+00,-2.24449828e-01,1.42130733e-01,2.17116647e-03,2.09999990e+00,1.04999995e+00
1.00000000e+00,1.28868806e+00,-1.94804549e-01,1.63025513e-01,2.49317079e-03,2.15000010e+00,1.00000000e+00
1.00000000e+00,1.32270718e+00,-2.05686659e-01,1.29562199e-01,1.97329419e-03,2.15000010e+00,1.04999995e+00
1.00000000e+00,1.29977965e+00,-1.78597957e-01,1.56459853e-01,2.37255520e-03,2.20000005e+00,1.00000000e+00
