geometry,ux,uy,p,x,y
1,0.642058134,-2.2447055E-05,0.765290618,3.04999995,0.200000003
1,0.642072439,-5.21156699E-06,0.725189507,3.0999999,0.200000003
1,0.642079294,4.88870774E-06,0.684743226,3.1500001,0.200000003
1,0.642085373,1.23575164E-05,0.644205213,3.20000005,0.200000003
1,0.642091274,2.29801917E-05,0.603934824,3.25,0.200000003
1,0.642091095,3.67246212E-05,0.563684046,3.29999995,0.200000003
1,0.642085075,5.19153728E-05,0.523263872,3.3499999,0.200000003
1,0.642075837,7.80189293E-05,0.482843876,3.4000001,0.200000003
1,0.642059565,0.000114731803,0.442531407,3.45000005,0.200000003
1,0.642027915,0.000165611244,0.402314007,3.5,0.200000003
1,0.641987443,0.000241566362,0.361963362,3.54999995,0.200000003
1,0.64193064,0.000347950729,0.321459949,3.5999999,0.200000003
1,0.641847849,0.000467960956,0.281348109,3.6500001,0.200000003
1,0.641745806,0.000634751632,0.241510838,3.70000005,0.200000003
1,0.641643941,0.00078822783,0.200584903,3.75,0.200000003
1,0.641532004,0.000778981659,0.160841078,3.79999995,0.200000003
1,0.641542971,0.000609537121,0.121232048,3.8499999,0.200000003
1,0.641564608,-0.000648685207,0.0795630738,3.9000001,0.200000003
1,0.64171648,-0.0028886348,0.0414555371,3.95000005,0.200000003
4,0.641882122,0,0,4,0.200000003
1,0.745959103,0.0156944692,1.83708823,1.89999998,0.25
1,0.755789518,0.0142614236,1.707425,1.95000005,0.25
1,0.758120537,-0.000914882519,1.57508504,2,0.25
1,0.752835512,-0.00504206726,1.59766865,2.04999995,0.25
1,0.751204371,-0.00761420699,1.53523064,2.0999999,0.25
1,0.75074172,-0.00920197461,1.43017364,2.1500001,0.25
1,0.751047194,-0.00692723226,1.45175612,2.20000005,0.25
1,0.75097543,-0.0079293875,1.42716873,2.25,0.25
1,0.750276804,-0.00567770284,1.35773504,2.29999995,0.25
1,0.750673532,-0.00457626907,1.31234348,2.3499999,0.25
1,0.751473725,-0.00389568112,1.29268432,2.4000001,0.25
1,0.751755297,-0.0031066637,1.25587034,2.45000005,0.25
1,0.751786649,-0.00212241965,1.20274627,2.5,0.25
1,0.752086461,-0.00165430934,1.16385841,2.54999995,0.25
1,0.752430975,-0.00131896208,1.13219452,2.5999999,0.25
1,0.752542615,-0.000922590203,1.08940136,2.6500001,0.25
1,0.752587259,-0.00060904061,1.04463255,2.70000005,0.25
1,0.75273025,-0.000466186611,1.00719583,2.75,0.25
1,0.752838552,-0.000340649975,0.968987048,2.79999995,0.25
1,0.752854824,-0.000209135906,0.926412165,2.8499999,0.25
1,0.752882183,-0.000133017558,0.885373175,2.9000001,0.25
1,0.752940834,-9.70557521E-05,0.846577346,2.95000005,0.25
1,0.752965987,-5.80367414E-05,0.806268275,3,0.25
1,0.752967179,-2.49682271E-05,0.764971733,3.04999995,0.25
1,0.752984941,-9.95285973E-06,0.724810302,3.0999999,0.25
1,0.753006577,9.2060651E-07,0.684965312,3.1500001,0.25
1,0.753011465,1.53369056E-05,0.644375801,3.20000005,0.25
1,0.753014207,2.87175299E-05,0.603758395,3.25,0.25
1,0.753023267,4.31843655E-05,0.563586652,3.29999995,0.25
1,0.753027678,6.33591408E-05,0.523359895,3.3499999,0.25
1,0.753024399,9.38098965E-05,0.482883632,3.4000001,0.25
1,0.753022552,0.000138520525,0.442437649,3.45000005,0.25
1,0.753015518,0.000197670102,0.402172506,3.5,0.25
1,0.752999663,0.000282849505,0.361978948,3.54999995,0.25
1,0.752982795,0.000399026758,0.321546346,3.5999999,0.25
1,0.752967358,0.000542800233,0.280891567,3.6500001,0.25
1,0.752939105,0.000686589919,0.240993217,3.70000005,0.25
1,0.752937913,0.000873078883,0.200858891,3.75,0.25
1,0.752946317,0.000796998444,0.159591168,3.79999995,0.25
1,0.752993882,0.000550586963,0.119659029,3.8499999,0.25
1,0.75302124,-0.000619583589,0.0792512372,3.9000001,0.25
1,0.752974212,-0.00298283482,0.0387088545,3.95000005,0.25
4,0.752900481,0,0,4,0.25
1,0.843042254,0.00760657247,1.67296517,1.89999998,0.300000012
1,0.851050258,0.00584531575,1.64342356,1.95000005,0.300000012
1,0.853596687,0.00276598474,1.67219865,2,0.300000012
1,0.852094531,-0.00223001139,1.60352993,2.04999995,0.300000012
1,0.85006249,-0.00774441846,1.45487452,2.0999999,0.300000012
1,0.848015964,-0.00671625696,1.49346328,2.1500001,0.300000012
1,0.846951008,-0.00668548793,1.4899863,2.20000005,0.300000012
1,0.84500283,-0.00682216976,1.38070917,2.25,0.300000012
1,0.844145656,-0.00555996969,1.34856391,2.29999995,0.300000012
1,0.844440162,-0.0049725296,1.34340632,2.3499999,0.300000012
1,0.844073415,-0.00373974862,1.29178607,2.4000001,0.300000012
1,0.843501091,-0.00301998551,1.23784626,2.45000005,0.300000012
1,0.843556762,-0.00238034152,1.20799673,2.5,0.300000012
1,0.843734443,-0.00181826681,1.17237282,2.54999995,0.300000012
1,0.843625247,-0.00130478945,1.12623215,2.5999999,0.300000012
1,0.84354943,-0.000969251443,1.08603513,2.6500001,0.300000012
1,0.843623161,-0.00071522058,1.04894435,2.70000005,0.300000012
1,0.843663633,-0.000512341037,1.00749671,2.75,0.300000012
1,0.843648911,-0.000341376406,0.96606046,2.79999995,0.300000012
1,0.843664944,-0.000233834333,0.927008927,2.8499999,0.300000012
1,0.843692839,-0.000164824814,0.886845946,2.9000001,0.300000012
1,0.843702674,-0.000105699677,0.845644951,2.95000005,0.300000012
1,0.843714595,-5.79164225E-05,0.805554867,3,0.300000012
1,0.843732774,-3.27998678E-05,0.765689373,3.04999995,0.300000012
1,0.843743265,-1.69397917E-05,0.72500509,3.0999999,0.300000012
1,0.843752801,1.24396252E-06,0.684438229,3.1500001,0.300000012
1,0.843767285,1.70974945E-05,0.64435482,3.20000005,0.300000012
1,0.843779147,2.83640384E-05,0.604066193,3.25,0.300000012
1,0.843788147,4.37495837E-05,0.563518167,3.29999995,0.300000012
1,0.843800724,6.80975427E-05,0.523129046,3.3499999,0.300000012
1,0.843813181,9.85836959E-05,0.482911885,3.4000001,0.300000012
1,0.843825579,0.000141987461,0.442583382,3.45000005,0.300000012
1,0.843842745,0.000204397715,0.402046114,3.5,0.300000012
1,0.843864441,0.000290367345,0.361645758,3.54999995,0.300000012
1,0.843890667,0.000394848059,0.321545362,3.5999999,0.300000012
1,0.843934417,0.000547186879,0.280994356,3.6500001,0.300000012
1,0.843990505,0.000664681487,0.240269125,3.70000005,0.300000012
1,0.844080567,0.000815747073,0.2002251,3.75,0.300000012
1,0.844190359,0.000761646137,0.159376338,3.79999995,0.300000012
1,0.844274104,0.000481503375,0.11851982,3.8499999,0.300000012
1,0.844294071,-0.000556993124,0.0781949684,3.9000001,0.300000012
1,0.844097674,-0.00275128637,0.0368417092,3.95000005,0.300000012
4,0.84380579,0,0,4,0.300000012
1,0.919261813,0.000243347255,1.63211536,1.89999998,0.349999994
1,0.923563182,0.00134623272,1.6757226,1.95000005,0.349999994
1,0.92687577,0.00134022092,1.63426292,2,0.349999994
1,0.927594483,-0.0019620466,1.55557549,2.04999995,0.349999994
1,0.925466716,-0.00359993591,1.53274906,2.0999999,0.349999994
1,0.922554135,-0.004499231,1.51351726,2.1500001,0.349999994
1,0.920653999,-0.00626296084,1.42944431,2.20000005,0.349999994
1,0.919426739,-0.00511097629,1.39124501,2.25,0.349999994
