geometry,ux,uy,p,knudsen,x,y
1,0.302455634,-0.0152924908,0.162922919,0.0084143253,21.6000004,0.200000003
1,0.359026551,-0.0502744056,0.0818019286,0.00463377358,21.7000008,0.200000003
1,0.340289325,0.00575665804,0.107306398,0.0122581655,21.7999992,0.200000003
1,0.473855436,-0.0800756961,0.103550769,0.00929924194,21.8999996,0.200000003
4,0.432973146,0,0,0.0521535724,22,0.200000003
1,0.343391001,-0.00390937086,0.247643545,0.00530541968,21,0.300000012
1,0.345113873,0.00714712916,0.132522702,0.00409946125,21.1000004,0.300000012
1,0.351836532,0.0188916754,0.177703887,0.00452628452,21.2000008,0.300000012
1,0.362971574,-0.0425327532,0.136608183,0.00421159063,21.2999992,0.300000012
1,0.373912454,-0.00826687552,0.123490341,0.00551893888,21.3999996,0.300000012
1,0.403547585,-0.0553680025,0.128789112,0.00355221843,21.5,0.300000012
1,0.417575955,-0.0422378443,0.15310666,0.0071626734,21.6000004,0.300000012
1,0.429239213,-0.084038198,0.117264047,0.00887191109,21.7000008,0.300000012
1,0.50710094,-0.0203921162,0.0827295706,0.0148935905,21.7999992,0.300000012
1,0.500897527,-0.290266573,0.0930892155,0.0308631007,21.8999996,0.300000012
4,0.803999603,0,0,0.12977995,22,0.300000012
1,0.434412539,-0.00272023957,0.262149155,0.00395876681,21,0.400000006
1,0.448685229,0.0147867855,0.200674698,0.00451724185,21.1000004,0.400000006
1,0.460020125,-0.013888672,0.116844229,0.00307087367,21.2000008,0.400000006
1,0.473800749,-0.0324037559,0.1237275,0.00319863949,21.2999992,0.400000006
1,0.475063235,-0.0373860598,0.198898822,0.00190851558,21.3999996,0.400000006
1,0.504335225,-0.0571142174,0.128723636,0.00504718209,21.5,0.400000006
1,0.492174268,-0.080227308,0.0977531895,0.00412734691,21.6000004,0.400000006
1,0.546309471,-0.0921195671,0.147602856,0.00511991326,21.7000008,0.400000006
1,0.541978598,-0.101241715,0.123548746,0.00708227884,21.7999992,0.400000006
1,0.645923376,-0.227570146,0.0893385112,0.0162246134,21.8999996,0.400000006
4,0.414701283,0,0,0.0583098009,22,0.400000006
1,0.513138771,-0.00835868251,0.263193011,0.00265770359,21,0.5
1,0.534157813,-0.00604252843,0.180780798,0.00400227075,21.1000004,0.5
1,0.546805084,-0.0256178193,0.160845444,0.000403179962,21.2000008,0.5
1,0.547154188,-0.0237241983,0.155824184,0.00318110548,21.2999992,0.5
1,0.548409879,-0.0606254376,0.157596231,0.00293872552,21.3999996,0.5
1,0.563487172,-0.0723933727,0.141301855,0.00468292087,21.5,0.5
1,0.588392317,-0.0755744651,0.145657793,0.00430413475,21.6000004,0.5
1,0.593037724,-0.175346971,0.137969851,0.00744849117,21.7000008,0.5
1,0.686762989,-0.0580446124,0.113050036,0.0179696679,21.7999992,0.5
1,0.609165549,-0.389470071,0.131950513,0.039314732,21.8999996,0.5
4,1.00037324,0,0,0.180134863,22,0.5
1,0.58545959,-0.0149808684,0.253499389,0.00167156372,21,0.600000024
1,0.593074262,-0.0178330801,0.142448127,0.00261395331,21.1000004,0.600000024
1,0.590401649,-0.0228077956,0.198452279,0.00100667775,21.2000008,0.600000024
1,0.60550791,-0.0282781981,0.182456449,0.00528038619,21.2999992,0.600000024
1,0.610630989,-0.0792059451,0.126810074,0.00310744205,21.3999996,0.600000024
1,0.630138218,-0.0730743855,0.164062023,0.00477793813,21.5,0.600000024
1,0.63008076,-0.109573774,0.191794127,0.00262353313,21.6000004,0.600000024
1,0.668885827,-0.164152071,0.140479907,0.00313510164,21.7000008,0.600000024
1,0.608929276,-0.128301978,0.111358099,0.0120830974,21.7999992,0.600000024
1,0.753516138,-0.331762493,0.168379277,0.0262749922,21.8999996,0.600000024
4,0.367362738,0,0,0.0690863952,22,0.600000024
1,0.655291855,-0.0166363381,0.234404311,0.00174205296,21,0.699999988
1,0.652359366,-0.0106540537,0.17328231,0.00373412156,21.1000004,0.699999988
1,0.649540007,-0.0306156464,0.17122902,0.00132841396,21.2000008,0.699999988
1,0.662210703,-0.0550793111,0.181399733,0.00465089921,21.2999992,0.699999988
1,0.678525448,-0.0731109977,0.188284352,0.000782637799,21.3999996,0.699999988
1,0.677269995,-0.102443472,0.176678389,0.00396933313,21.5,0.699999988
1,0.708693743,-0.113166958,0.159226343,0.00264668185,21.6000004,0.699999988
1,0.699812353,-0.199821442,0.175450012,0.00672231428,21.7000008,0.699999988
